172.016.116.044,207.025.071.026,07/29/1998-16:20
010.020.030.040,172.016.112.050,07/24/1998-20:12
172.016.114.168,129.053.216.005,07/08/1998-10:10
194.027.251.021,192.168.001.001,07/27/1998-13:38
172.016.114.050,209.030.070.001,07/10/1998-19:36
199.174.194.189,172.016.114.050,06/22/1998-14:03
135.013.216.191,172.016.113.050,07/08/1998-11:06
199.174.194.014,172.016.114.050,06/22/1998-14:04
172.016.113.204,207.046.130.014,07/07/1998-19:50
230.001.010.020,172.016.112.050,07/09/1998-11:46
166.102.114.043,172.016.113.050,07/21/1998-18:45
194.027.251.021,192.168.001.001,07/08/1998-18:51
172.016.112.020,195.073.151.050,06/05/1998-08:11
197.218.177.069,172.016.112.207,06/18/1998-08:46
172.016.114.148,135.013.216.191,07/30/1998-10:49
196.037.075.158,172.016.114.148,07/21/1998-10:50
230.001.010.020,172.016.112.050,07/03/1998-17:52
172.016.114.148,195.073.151.050,06/18/1998-14:12
192.168.001.020,192.168.001.010,07/17/1998-01:02
230.001.010.020,172.016.112.050,07/09/1998-12:19
209.074.060.168,172.016.113.050,07/30/1998-14:00
010.020.030.040,172.016.112.050,07/02/1998-10:15
172.016.117.132,207.025.071.128,07/23/1998-11:04
172.016.116.201,206.184.238.129,06/09/1998-16:10
172.016.112.149,152.163.210.011,07/10/1998-14:07
172.016.117.132,132.162.001.225,07/28/1998-11:32
010.020.030.040,172.016.112.050,06/18/1998-15:22
194.027.251.021,192.168.001.001,07/22/1998-11:55
172.016.114.207,204.146.018.033,07/22/1998-15:06
192.168.001.001,194.027.251.021,07/07/1998-05:21
172.016.116.194,136.149.142.178,07/30/1998-08:24
172.016.113.105,152.163.210.010,07/13/1998-20:39
199.174.194.086,172.016.114.050,06/22/1998-14:05
172.016.114.050,153.010.008.176,07/10/1998-19:24
172.016.116.194,204.152.144.054,07/20/1998-13:55
172.016.114.169,205.181.112.065,07/30/1998-11:53
166.102.114.043,172.016.113.050,07/21/1998-18:26
010.020.030.040,172.016.112.050,06/18/1998-15:11
230.001.010.020,172.016.112.050,07/03/1998-17:52
207.230.054.203,192.168.001.001,07/29/1998-23:17
010.020.030.040,172.016.112.050,06/18/1998-15:44
010.020.030.040,172.016.112.050,07/02/1998-10:26
209.154.098.104,172.016.114.050,06/29/1998-10:12
207.230.054.203,192.168.001.001,07/23/1998-10:19
199.174.194.007,172.016.114.050,06/22/1998-14:03
010.020.030.040,172.016.112.050,07/09/1998-13:52
010.020.030.040,172.016.112.050,07/02/1998-10:41
230.001.010.020,172.016.112.050,07/09/1998-11:37
230.001.010.020,172.016.112.050,07/03/1998-17:34
209.074.060.168,172.016.113.050,07/30/1998-13:53
010.020.030.040,172.016.112.050,07/17/1998-10:33
010.020.030.040,172.016.112.050,06/18/1998-15:16
195.115.218.108,172.016.114.050,07/09/1998-13:58
192.168.001.010,172.016.112.020,06/26/1998-08:42
135.013.216.191,172.016.113.050,07/08/1998-10:59
209.074.060.168,172.016.113.050,07/30/1998-13:37
010.020.030.040,172.016.112.050,07/02/1998-10:10
010.020.030.040,172.016.112.050,06/18/1998-15:25
135.013.216.191,172.016.113.050,07/08/1998-11:32
199.174.194.057,172.016.114.050,06/22/1998-14:04
199.174.194.095,172.016.114.050,06/22/1998-14:04
010.020.030.040,172.016.112.050,07/17/1998-09:53
230.001.010.020,172.016.112.050,07/09/1998-11:58
172.016.114.169,209.001.224.013,07/10/1998-13:34
010.020.030.040,172.016.112.050,07/17/1998-10:13
123.123.123.123,172.016.113.050,07/20/1998-16:08
010.020.030.040,172.016.112.050,07/24/1998-20:36
010.020.030.040,172.016.112.050,07/17/1998-10:07
010.020.030.040,172.016.112.050,06/18/1998-15:16
010.020.030.040,172.016.112.050,07/24/1998-19:57
010.020.030.040,172.016.112.050,06/18/1998-15:55
194.027.251.021,192.168.001.001,07/07/1998-21:18
010.020.030.040,172.016.112.050,07/17/1998-09:52
010.020.030.040,172.016.112.050,06/18/1998-15:30
010.020.030.040,172.016.112.050,07/09/1998-13:38
010.020.030.040,172.016.112.050,07/24/1998-19:53
230.001.010.020,172.016.112.050,07/09/1998-12:07
135.013.216.191,172.016.113.050,07/08/1998-11:06
230.001.010.020,172.016.112.050,07/03/1998-18:01
192.168.001.001,192.168.001.010,07/23/1998-11:14
010.020.030.040,172.016.112.050,07/17/1998-10:23
172.016.114.050,208.240.124.083,07/31/1998-10:49
172.016.117.111,199.095.074.090,07/29/1998-09:21
