23,15732,28894
4325,27,40318
24,79,11572
25,160,41911
18,27,21101
7,21297,36550
1625,7368,14029
17,201,21279
0,8804,17680
1,2,19460
7,17,22357
7,17,22356
27,165,11437
5,9,19854
33,1957,6524
37,22261,40582
37,22261,40583
21,77,10125
27,607,36087
7,160,11811
34,23100,44192
23,18623,28913
2735,27,40318
10,84,14735
16,165,7375
27,2305,6941
23,17973,28900
23,17973,28906
9,58,1045
19,73,28272
14,85,12679
22,77,5414
31,73,16949
19,85,13956
1665,27,14977
5,9,15294
14,58,10758
23,13831,28912
14,85,12675
1665,27,14976
2,3,20215
24,7565,43341
1665,27,14975
27,26,28157
33,7155,38911
6,87,19155
8,20315,37890
26,1950,39233
6,87,19152
6,87,19151
8,1146,32567
18,3,36920
7120,8156,23094
18,3,36922
2803,27,22466
18,3,36924
18,3,36925
18,3,36926
18,3,36927
18,3,36928
18,3,36929
10,73,16588
5956,27,28199
27,74,21154
5872,27,22466
1,2,5076
5,7759,39421
27,193,249
1780,8155,44964
28,26,15787
13,2806,22370
22,58,3254
21,27,31436
35,5,10032
21,27,31432
7248,27,20057
22,84,25209
27,3366,10631
8,89,32296
21,27,22470
20,25,45749
19,73,45741
1239,77,11656
1239,77,11655
1239,77,11654
1620,5565,11693
2,3,35118
18,3,39855
6,25,242
23,17641,28888
20,8,34215
22,80,19108
574,77,46096
11,79,32327
9,72,38137
7,79,11840
980,27,28199
23,19543,28900
18,3,39854
8,23108,44226
8833,8156,23094
23,19543,28906
20,58,17553
18,72,10793
5,7759,45549
5,75,26115
28,211,435
1,160,8939
33,109,28594
5,7759,45546
0,1051,42803
28,78,2947
37,108,35944
0,1051,42800
18,3,25803
28,1054,9761
18,3,25801
18,3,25800
18,3,25807
18,3,25806
18,3,25805
18,3,25804
18,3,25809
18,3,25808
6636,27,22466
23,18249,28888
21,27,38280
25,26,17443
4,8,26618
25,20698,32563
23,12833,28888
19,73,1410
34,23100,44191
16,540,36992
18,3,34386
18,3,34387
27,2678,15050
18,3,34385
6815,27,40318
598,27,22466
35,43,40608
17,23027,44040
1,2,24443
18,3,34388
18,3,34389
4470,27,28199
26,1946,42668
0,6776,13080
21,80,32627
28,74,2989
33,21603,36648
1644,3,46314
1644,3,46315
23,74,3296
23,74,3297
1644,3,46310
1644,3,46311
1644,3,46312
23,18670,28912
5,9,20205
8,106,16499
1644,3,46318
1644,3,46319
23,16641,28906
18,58,11640
9,85,17709
16,93,32524
2969,27,20057
20,84,39303
13,165,27742
27,93,20595
18,77,11579
24,75,45455
31,72,20008
4,77,10526
3,2,32340
6673,27,40318
18,85,26759
11,21849,38583
4391,27,28199
39,165,11511
23,15043,28912
23,15905,28913
1,2,301
8,3760,11870
28,107,3684
25,1214,9937
571,22730,42316
2064,27,22245
5,9,25580
22,27,31755
11,3634,11495
5,9,17476
2,3,10320
23,17402,28900
2,3,10323
1620,4894,11692
6,7249,27984
2,3,10327
7,26,38928
35,37,30206
7446,27,28199
571,22730,42317
7742,27,22466
7,1277,43983
23,13693,28913
19,84,15880
12,11639,23974
6,7351,19086
12,11639,23973
10,80,28343
23,13855,28888
19,87,38228
12,93,11100
9,87,25495
11,26,33291
21,77,44213
3,49,22709
10,84,8249
8591,27,40318
27,74,33766
11,75,44431
15,9445,44402
2789,27,40318
992,10765,28094
23,16318,28906
10,11259,43422
23,16318,28900
35,9223,19924
29,78,268
6,58,16902
3,3044,29153
3,3044,29152
17,2378,35879
25,78,32450
25,78,32453
25,78,22242
11,3311,11131
18,58,4519
8,1588,34690
11,81,21388
0,8780,23896
4,12,22847
21,8518,22023
8966,8156,23094
23,19283,28894
23,12849,28894
21,73,3725
23,93,22299
14,85,12674
1787,27,45114
25,1,369
21,73,3728
36,8,31941
29,75,31247
31,87,27771
7879,27,22466
29,81,19897
28,160,14657
29,7,12994
7,22,5699
14,80,43050
34,741,3280
14,80,43053
23,19505,28894
9,86,23804
6316,27,20057
9,86,23807
10,72,17599
23,14284,28894
8,2485,8339
5,9,9917
6,73,17487
1625,7397,14029
6160,27,28199
33,42,2990
10,6759,12798
5,9,27524
19,88,15682
8,1952,28756
17,26,30242
700,27,20057
10,73,7710
17,7,33208
7,75,9760
21,80,24096
29,20167,29893
2287,8156,38181
16,146,1115
21,10588,22045
8485,27,28199
18,3,38928
18,3,38929
18,3,38926
23,7,13764
18,3,38924
9,87,4415
18,3,38922
16,146,1119
13,7,5791
23,13649,28894
34,952,34784
0,1945,10185
7558,27,28199
35,30,41780
23,14929,28888
18,3,36921
13,9444,40697
7,2203,8274
30,109,8348
34,952,34788
23,17412,28894
18,3,43772
29,1943,13845
18,3,36923
28,78,25221
2,3,13002
6975,27,20057
23,15958,28900
